 ,Precision,Recall,F-Measure,Avg Precision,Ndcg,Latency
Query,@50,@50,@50,@50,@50,@50
1,0.12,0.023,0.039,0.236,0.083,0.019
2,0.04,0.033,0.036,0.095,0.038,0.032
3,0.1,0.025,0.04,0.155,0.056,0.02
4,0.0,0.0,0,0,0.0,0.272
5,0.14,0.037,0.058,0.124,0.079,0.022
6,0.16,0.031,0.052,0.204,0.112,0.034
7,0.02,0.014,0.017,0.025,0.015,0.115
8,0.12,0.066,0.085,0.389,0.116,0.029
9,0.04,0.054,0.046,0.25,0.099,0.019
10,0.1,0.104,0.102,0.172,0.101,0.026
11,0.02,0.015,0.017,0.077,0.014,0.023
12,0.04,0.009,0.015,0.367,0.049,0.018
13,0.14,0.027,0.046,0.242,0.083,0.032
14,0.26,0.167,0.203,0.614,0.259,0.018
15,0.02,0.01,0.014,0.022,0.019,0.019
16,0.06,0.035,0.044,0.3,0.063,0.031
17,0.14,0.087,0.108,0.618,0.227,0.04
18,0.1,0.04,0.057,0.406,0.089,0.016
19,0.0,0.0,0,0,0.0,0.014
20,0.06,0.029,0.039,0.246,0.121,0.156
21,0.02,0.011,0.014,0.083,0.021,0.029
22,0.06,0.068,0.064,0.403,0.137,0.021
23,0.06,0.111,0.078,0.064,0.073,0.017
24,0.08,0.103,0.09,0.078,0.085,0.017
25,0.1,0.054,0.07,0.119,0.088,0.018
26,0.06,0.019,0.028,0.108,0.056,0.03
27,0.08,0.029,0.043,0.209,0.069,0.019
28,0.04,0.065,0.049,0.05,0.051,0.017
29,0.3,0.098,0.148,0.398,0.245,0.021
30,0.18,0.17,0.175,0.253,0.183,0.017
31,0.02,0.014,0.016,0.031,0.009,0.168
32,0.02,0.083,0.032,0.045,0.053,0.023
33,0.06,0.088,0.071,0.225,0.077,0.028
34,0.0,0.0,0,0,0.0,0.019
35,0.04,0.118,0.06,0.188,0.122,0.027
36,0.18,0.076,0.107,0.167,0.143,0.031
37,0.06,0.038,0.047,0.141,0.032,0.037
38,0.12,0.086,0.1,0.368,0.108,0.023
39,0.18,0.18,0.18,0.413,0.2,0.011
40,0.08,0.035,0.049,0.331,0.08,0.02
41,0.0,0.0,0,0,0.0,0.01
42,0.0,0.0,0,0,0.0,0.147
43,0.0,0,0,0,0,0.027
44,0.02,0.027,0.023,0.125,0.035,0.033
45,0.16,0.4,0.229,0.215,0.297,0.041
46,0.1,0.357,0.156,0.351,0.336,0.013
47,0.02,0.053,0.029,0.033,0.018,0.016
48,0.02,0.045,0.028,0.026,0.039,0.012
49,0.0,0.0,0,0,0.0,0.051
50,0.04,0.133,0.062,0.048,0.046,0.023
